;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 28/12/2022 10:10:33
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x16CA	0x2001    MOVS	R0, #1
0x16CC	0xF7FFFBDA  BL	_Lcd_Cmd+0
;MyProject.c, 67 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);
0x16D0	0x200C    MOVS	R0, #12
0x16D2	0xF7FFFBD7  BL	_Lcd_Cmd+0
;MyProject.c, 68 :: 		Lcd_Out(1,1,"Direnc Hesaplama");
0x16D6	0x48A4    LDR	R0, [PC, #656]
0x16D8	0x4602    MOV	R2, R0
0x16DA	0x2101    MOVS	R1, #1
0x16DC	0x2001    MOVS	R0, #1
0x16DE	0xF7FFFD85  BL	_Lcd_Out+0
;MyProject.c, 69 :: 		Lcd_Out(2,2,"Uygulamasi");
0x16E2	0x48A2    LDR	R0, [PC, #648]
0x16E4	0x4602    MOV	R2, R0
0x16E6	0x2102    MOVS	R1, #2
0x16E8	0x2002    MOVS	R0, #2
0x16EA	0xF7FFFD7F  BL	_Lcd_Out+0
;MyProject.c, 70 :: 		delay_ms(1000);
0x16EE	0xF2461753  MOVW	R7, #24915
0x16F2	0xF2C00751  MOVT	R7, #81
0x16F6	0xBF00    NOP
0x16F8	0xBF00    NOP
L_main35:
0x16FA	0x1E7F    SUBS	R7, R7, #1
0x16FC	0xD1FD    BNE	L_main35
0x16FE	0xBF00    NOP
0x1700	0xBF00    NOP
0x1702	0xBF00    NOP
0x1704	0xBF00    NOP
;MyProject.c, 71 :: 		Lcd_Cmd(_LCD_CLEAR);
0x1706	0x2001    MOVS	R0, #1
0x1708	0xF7FFFBBC  BL	_Lcd_Cmd+0
;MyProject.c, 73 :: 		while(1) {
L_main37:
;MyProject.c, 75 :: 		if(BUTONA){
0x170C	0x2301    MOVS	R3, #1
0x170E	0x2264    MOVS	R2, #100
0x1710	0x2103    MOVS	R1, #3
0x1712	0x488E    LDR	R0, [PC, #568]
0x1714	0xF7FFFDA4  BL	_Button+0
0x1718	0x2800    CMP	R0, #0
0x171A	0xD044    BEQ	L_main39
;MyProject.c, 76 :: 		Lcd_Cmd(_LCD_CLEAR);
0x171C	0x2001    MOVS	R0, #1
0x171E	0xF7FFFBB1  BL	_Lcd_Cmd+0
;MyProject.c, 78 :: 		numberA++;
0x1722	0x4993    LDR	R1, [PC, #588]
0x1724	0xF9B10000  LDRSH	R0, [R1, #0]
0x1728	0x1C40    ADDS	R0, R0, #1
0x172A	0x8008    STRH	R0, [R1, #0]
;MyProject.c, 80 :: 		while(BUTONA);
L_main40:
0x172C	0x2301    MOVS	R3, #1
0x172E	0x2264    MOVS	R2, #100
0x1730	0x2103    MOVS	R1, #3
0x1732	0x4886    LDR	R0, [PC, #536]
0x1734	0xF7FFFD94  BL	_Button+0
0x1738	0xB100    CBZ	R0, L_main41
0x173A	0xE7F7    B	L_main40
L_main41:
;MyProject.c, 81 :: 		G_Led = 1;
0x173C	0x2101    MOVS	R1, #1
0x173E	0xB249    SXTB	R1, R1
0x1740	0x4886    LDR	R0, [PC, #536]
0x1742	0x6001    STR	R1, [R0, #0]
;MyProject.c, 82 :: 		delay_ms(1000);
0x1744	0xF2461753  MOVW	R7, #24915
0x1748	0xF2C00751  MOVT	R7, #81
0x174C	0xBF00    NOP
0x174E	0xBF00    NOP
L_main42:
0x1750	0x1E7F    SUBS	R7, R7, #1
0x1752	0xD1FD    BNE	L_main42
0x1754	0xBF00    NOP
0x1756	0xBF00    NOP
0x1758	0xBF00    NOP
0x175A	0xBF00    NOP
;MyProject.c, 83 :: 		if(numberA==10)
0x175C	0x4884    LDR	R0, [PC, #528]
0x175E	0xF9B00000  LDRSH	R0, [R0, #0]
0x1762	0x280A    CMP	R0, #10
0x1764	0xD103    BNE	L_main44
;MyProject.c, 85 :: 		numberA=0;
0x1766	0x2100    MOVS	R1, #0
0x1768	0xB209    SXTH	R1, R1
0x176A	0x4881    LDR	R0, [PC, #516]
0x176C	0x8001    STRH	R1, [R0, #0]
;MyProject.c, 86 :: 		}
L_main44:
;MyProject.c, 87 :: 		renkBul(numberA);
0x176E	0x4880    LDR	R0, [PC, #512]
0x1770	0xF9B00000  LDRSH	R0, [R0, #0]
0x1774	0xF7FFFC44  BL	_renkBul+0
;MyProject.c, 88 :: 		IntToStr(numberA, strA);
0x1778	0x487D    LDR	R0, [PC, #500]
0x177A	0xF9B00000  LDRSH	R0, [R0, #0]
0x177E	0x497D    LDR	R1, [PC, #500]
0x1780	0xF7FFFBDC  BL	_IntToStr+0
;MyProject.c, 89 :: 		Lcd_Out(2,2,strA);
0x1784	0x4A7B    LDR	R2, [PC, #492]
0x1786	0x2102    MOVS	R1, #2
0x1788	0x2002    MOVS	R0, #2
0x178A	0xF7FFFD2F  BL	_Lcd_Out+0
;MyProject.c, 90 :: 		delay_ms(1000);
0x178E	0xF2461753  MOVW	R7, #24915
0x1792	0xF2C00751  MOVT	R7, #81
0x1796	0xBF00    NOP
0x1798	0xBF00    NOP
L_main45:
0x179A	0x1E7F    SUBS	R7, R7, #1
0x179C	0xD1FD    BNE	L_main45
0x179E	0xBF00    NOP
0x17A0	0xBF00    NOP
0x17A2	0xBF00    NOP
0x17A4	0xBF00    NOP
;MyProject.c, 91 :: 		}
L_main39:
;MyProject.c, 95 :: 		G_Led=0;
0x17A6	0x2100    MOVS	R1, #0
0x17A8	0xB249    SXTB	R1, R1
0x17AA	0x486C    LDR	R0, [PC, #432]
0x17AC	0x6001    STR	R1, [R0, #0]
;MyProject.c, 96 :: 		if(BUTONB){
0x17AE	0x2301    MOVS	R3, #1
0x17B0	0x2264    MOVS	R2, #100
0x17B2	0x2101    MOVS	R1, #1
0x17B4	0x4865    LDR	R0, [PC, #404]
0x17B6	0xF7FFFD53  BL	_Button+0
0x17BA	0x2800    CMP	R0, #0
0x17BC	0xD044    BEQ	L_main47
;MyProject.c, 97 :: 		Lcd_Cmd(_LCD_CLEAR);
0x17BE	0x2001    MOVS	R0, #1
0x17C0	0xF7FFFB60  BL	_Lcd_Cmd+0
;MyProject.c, 98 :: 		numberB++;
0x17C4	0x496C    LDR	R1, [PC, #432]
0x17C6	0xF9B10000  LDRSH	R0, [R1, #0]
0x17CA	0x1C40    ADDS	R0, R0, #1
0x17CC	0x8008    STRH	R0, [R1, #0]
;MyProject.c, 99 :: 		while(BUTONB);
L_main48:
0x17CE	0x2301    MOVS	R3, #1
0x17D0	0x2264    MOVS	R2, #100
0x17D2	0x2101    MOVS	R1, #1
0x17D4	0x485D    LDR	R0, [PC, #372]
0x17D6	0xF7FFFD43  BL	_Button+0
0x17DA	0xB100    CBZ	R0, L_main49
0x17DC	0xE7F7    B	L_main48
L_main49:
;MyProject.c, 100 :: 		Y_Led = 1;
0x17DE	0x2101    MOVS	R1, #1
0x17E0	0xB249    SXTB	R1, R1
0x17E2	0x485F    LDR	R0, [PC, #380]
0x17E4	0x6001    STR	R1, [R0, #0]
;MyProject.c, 101 :: 		delay_ms(1000);
0x17E6	0xF2461753  MOVW	R7, #24915
0x17EA	0xF2C00751  MOVT	R7, #81
0x17EE	0xBF00    NOP
0x17F0	0xBF00    NOP
L_main50:
0x17F2	0x1E7F    SUBS	R7, R7, #1
0x17F4	0xD1FD    BNE	L_main50
0x17F6	0xBF00    NOP
0x17F8	0xBF00    NOP
0x17FA	0xBF00    NOP
0x17FC	0xBF00    NOP
;MyProject.c, 102 :: 		if(numberB==10){
0x17FE	0x485E    LDR	R0, [PC, #376]
0x1800	0xF9B00000  LDRSH	R0, [R0, #0]
0x1804	0x280A    CMP	R0, #10
0x1806	0xD103    BNE	L_main52
;MyProject.c, 103 :: 		numberB=0;
0x1808	0x2100    MOVS	R1, #0
0x180A	0xB209    SXTH	R1, R1
0x180C	0x485A    LDR	R0, [PC, #360]
0x180E	0x8001    STRH	R1, [R0, #0]
;MyProject.c, 104 :: 		}
L_main52:
;MyProject.c, 105 :: 		renkBul(numberB);
0x1810	0x4859    LDR	R0, [PC, #356]
0x1812	0xF9B00000  LDRSH	R0, [R0, #0]
0x1816	0xF7FFFBF3  BL	_renkBul+0
;MyProject.c, 106 :: 		IntToStr(numberB,strB);
0x181A	0x4857    LDR	R0, [PC, #348]
0x181C	0xF9B00000  LDRSH	R0, [R0, #0]
0x1820	0x4956    LDR	R1, [PC, #344]
0x1822	0xF7FFFB8B  BL	_IntToStr+0
;MyProject.c, 107 :: 		Lcd_Out(2,2,strB);
0x1826	0x4A55    LDR	R2, [PC, #340]
0x1828	0x2102    MOVS	R1, #2
0x182A	0x2002    MOVS	R0, #2
0x182C	0xF7FFFCDE  BL	_Lcd_Out+0
;MyProject.c, 108 :: 		delay_ms(1000);
0x1830	0xF2461753  MOVW	R7, #24915
0x1834	0xF2C00751  MOVT	R7, #81
L_main53:
0x1838	0x1E7F    SUBS	R7, R7, #1
0x183A	0xD1FD    BNE	L_main53
0x183C	0xBF00    NOP
0x183E	0xBF00    NOP
0x1840	0xBF00    NOP
0x1842	0xBF00    NOP
0x1844	0xBF00    NOP
0x1846	0xBF00    NOP
;MyProject.c, 109 :: 		}
L_main47:
;MyProject.c, 111 :: 		Y_Led=0;
0x1848	0x2100    MOVS	R1, #0
0x184A	0xB249    SXTB	R1, R1
0x184C	0x4844    LDR	R0, [PC, #272]
0x184E	0x6001    STR	R1, [R0, #0]
;MyProject.c, 112 :: 		if(BUTONC){
0x1850	0x2301    MOVS	R3, #1
0x1852	0x2264    MOVS	R2, #100
0x1854	0x2102    MOVS	R1, #2
0x1856	0x483D    LDR	R0, [PC, #244]
0x1858	0xF7FFFD02  BL	_Button+0
0x185C	0x2800    CMP	R0, #0
0x185E	0xD044    BEQ	L_main55
;MyProject.c, 113 :: 		Lcd_Cmd(_LCD_CLEAR);
0x1860	0x2001    MOVS	R0, #1
0x1862	0xF7FFFB0F  BL	_Lcd_Cmd+0
;MyProject.c, 114 :: 		numberC++;
0x1866	0x4946    LDR	R1, [PC, #280]
0x1868	0xF9B10000  LDRSH	R0, [R1, #0]
0x186C	0x1C40    ADDS	R0, R0, #1
0x186E	0x8008    STRH	R0, [R1, #0]
;MyProject.c, 115 :: 		while(BUTONC);
L_main56:
0x1870	0x2301    MOVS	R3, #1
0x1872	0x2264    MOVS	R2, #100
0x1874	0x2102    MOVS	R1, #2
0x1876	0x4835    LDR	R0, [PC, #212]
0x1878	0xF7FFFCF2  BL	_Button+0
0x187C	0xB100    CBZ	R0, L_main57
0x187E	0xE7F7    B	L_main56
L_main57:
;MyProject.c, 116 :: 		R_Led = 1;
0x1880	0x2101    MOVS	R1, #1
0x1882	0xB249    SXTB	R1, R1
0x1884	0x4837    LDR	R0, [PC, #220]
0x1886	0x6001    STR	R1, [R0, #0]
;MyProject.c, 117 :: 		delay_ms(1000);
0x1888	0xF2461753  MOVW	R7, #24915
0x188C	0xF2C00751  MOVT	R7, #81
L_main58:
0x1890	0x1E7F    SUBS	R7, R7, #1
0x1892	0xD1FD    BNE	L_main58
0x1894	0xBF00    NOP
0x1896	0xBF00    NOP
0x1898	0xBF00    NOP
0x189A	0xBF00    NOP
0x189C	0xBF00    NOP
0x189E	0xBF00    NOP
;MyProject.c, 118 :: 		if(numberC==10){
0x18A0	0x4837    LDR	R0, [PC, #220]
0x18A2	0xF9B00000  LDRSH	R0, [R0, #0]
0x18A6	0x280A    CMP	R0, #10
0x18A8	0xD103    BNE	L_main60
;MyProject.c, 119 :: 		numberC=0;
0x18AA	0x2100    MOVS	R1, #0
0x18AC	0xB209    SXTH	R1, R1
0x18AE	0x4834    LDR	R0, [PC, #208]
0x18B0	0x8001    STRH	R1, [R0, #0]
;MyProject.c, 120 :: 		}
L_main60:
;MyProject.c, 121 :: 		renkBul(numberC);
0x18B2	0x4833    LDR	R0, [PC, #204]
0x18B4	0xF9B00000  LDRSH	R0, [R0, #0]
0x18B8	0xF7FFFBA2  BL	_renkBul+0
;MyProject.c, 122 :: 		IntToStr(numberC,strC);
0x18BC	0x4830    LDR	R0, [PC, #192]
0x18BE	0xF9B00000  LDRSH	R0, [R0, #0]
0x18C2	0x4930    LDR	R1, [PC, #192]
0x18C4	0xF7FFFB3A  BL	_IntToStr+0
;MyProject.c, 123 :: 		Lcd_Out(2,2,strC);
0x18C8	0x4A2E    LDR	R2, [PC, #184]
0x18CA	0x2102    MOVS	R1, #2
0x18CC	0x2002    MOVS	R0, #2
0x18CE	0xF7FFFC8D  BL	_Lcd_Out+0
;MyProject.c, 124 :: 		delay_ms(1000);
0x18D2	0xF2461753  MOVW	R7, #24915
0x18D6	0xF2C00751  MOVT	R7, #81
L_main61:
0x18DA	0x1E7F    SUBS	R7, R7, #1
0x18DC	0xD1FD    BNE	L_main61
0x18DE	0xBF00    NOP
0x18E0	0xBF00    NOP
0x18E2	0xBF00    NOP
0x18E4	0xBF00    NOP
0x18E6	0xBF00    NOP
0x18E8	0xBF00    NOP
;MyProject.c, 125 :: 		}
L_main55:
;MyProject.c, 127 :: 		R_Led=0;
0x18EA	0x2100    MOVS	R1, #0
0x18EC	0xB249    SXTB	R1, R1
0x18EE	0x481D    LDR	R0, [PC, #116]
0x18F0	0x6001    STR	R1, [R0, #0]
;MyProject.c, 128 :: 		if(BUTOND){
0x18F2	0x2301    MOVS	R3, #1
0x18F4	0x2264    MOVS	R2, #100
0x18F6	0x2100    MOVS	R1, #0
0x18F8	0x4814    LDR	R0, [PC, #80]
0x18FA	0xF7FFFCB1  BL	_Button+0
0x18FE	0xB310    CBZ	R0, L_main63
;MyProject.c, 129 :: 		direnc = direncHesapla(numberA,numberB,numberC);
0x1900	0x481F    LDR	R0, [PC, #124]
0x1902	0xF9B02000  LDRSH	R2, [R0, #0]
0x1906	0x481C    LDR	R0, [PC, #112]
0x1908	0xF9B01000  LDRSH	R1, [R0, #0]
0x190C	0x4818    LDR	R0, [PC, #96]
0x190E	0xF9B00000  LDRSH	R0, [R0, #0]
0x1912	0xF7FFFB4B  BL	_direncHesapla+0
0x1916	0x481C    LDR	R0, [PC, #112]
0x1918	0xED000A00  VSTR.32	S0, [R0, #0]
;MyProject.c, 130 :: 		FloatToStr(direnc, txt);
0x191C	0x481B    LDR	R0, [PC, #108]
0x191E	0xF7FFF833  BL	_FloatToStr+0
;MyProject.c, 131 :: 		Lcd_Cmd(_LCD_CLEAR);
0x1922	0x2001    MOVS	R0, #1
0x1924	0xF7FFFAAE  BL	_Lcd_Cmd+0
;MyProject.c, 132 :: 		Lcd_Out(1,1, "R=  ");
0x1928	0x4819    LDR	R0, [PC, #100]
0x192A	0x4602    MOV	R2, R0
0x192C	0x2101    MOVS	R1, #1
0x192E	0x2001    MOVS	R0, #1
0x1930	0xF7FFFC5C  BL	_Lcd_Out+0
;MyProject.c, 133 :: 		Lcd_Out(1,6, txt);
0x1934	0x4A15    LDR	R2, [PC, #84]
0x1936	0x2106    MOVS	R1, #6
0x1938	0x2001    MOVS	R0, #1
0x193A	0xF7FFFC57  BL	_Lcd_Out+0
;MyProject.c, 134 :: 		CustomChar(1,4);
0x193E	0x2104    MOVS	R1, #4
0x1940	0x2001    MOVS	R0, #1
0x1942	0xF7FFF917  BL	_CustomChar+0
;MyProject.c, 135 :: 		}
L_main63:
;MyProject.c, 136 :: 		}
0x1946	0xE6E1    B	L_main37
;MyProject.c, 141 :: 		}
L_end_main:
L__main_end_loop:
0x1948	0xE7FE    B	L__main_end_loop
0x194A	0xBF00    NOP
0x194C	0x00104002  	GPIOA_IDR+0
0x1950	0x0C144002  	GPIOD_ODR+0
0x1954	0x10144002  	GPIOE_ODR+0
0x1958	0x02A44242  	GPIOE_ODR+0
0x195C	0x82844241  	GPIOD_ODR+0
0x1960	0x82884241  	GPIOD_ODR+0
0x1964	0x828C4241  	GPIOD_ODR+0
0x1968	0x00402000  	?lstr11_MyProject+0
0x196C	0x00512000  	?lstr12_MyProject+0
0x1970	0x005C2000  	_numberA+0
0x1974	0x00712000  	_strA+0
0x1978	0x005E2000  	_numberB+0
0x197C	0x00782000  	_strB+0
0x1980	0x00602000  	_numberC+0
0x1984	0x007F2000  	_strC+0
0x1988	0x003C2000  	_direnc+0
0x198C	0x00862000  	_txt+0
0x1990	0x00622000  	?lstr13_MyProject+0
; end of _main
___CC2DW:
;__Lib_System_4XX.c, 44 :: 		
0x0E34	0xB081    SUB	SP, SP, #4
;__Lib_System_4XX.c, 46 :: 		
L_loopDW:
;__Lib_System_4XX.c, 47 :: 		
0x0E36	0xF81C9B01  LDRB	R9, [R12], #1
;__Lib_System_4XX.c, 48 :: 		
0x0E3A	0xF80B9B01  STRB	R9, [R11], #1
;__Lib_System_4XX.c, 49 :: 		
0x0E3E	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_4XX.c, 50 :: 		
0x0E42	0xD1F8    BNE	L_loopDW
;__Lib_System_4XX.c, 52 :: 		
L_end___CC2DW:
0x0E44	0xB001    ADD	SP, SP, #4
0x0E46	0x4770    BX	LR
; end of ___CC2DW
___FillZeros:
;__Lib_System_4XX.c, 86 :: 		
0x0E48	0xB081    SUB	SP, SP, #4
;__Lib_System_4XX.c, 88 :: 		
0x0E4A	0xF04F0900  MOV	R9, #0
;__Lib_System_4XX.c, 89 :: 		
0x0E4E	0xF04F0C00  MOV	R12, #0
;__Lib_System_4XX.c, 90 :: 		
0x0E52	0xEBBD0F0A  CMP	SP, R10, LSL #0
;__Lib_System_4XX.c, 91 :: 		
0x0E56	0xDC04    BGT	L_loopFZs
;__Lib_System_4XX.c, 92 :: 		
0x0E58	0xEBBD0F0B  CMP	SP, R11, LSL #0
;__Lib_System_4XX.c, 93 :: 		
0x0E5C	0xDB01    BLT	L_loopFZs
;__Lib_System_4XX.c, 94 :: 		
0x0E5E	0x46D4    MOV	R12, R10
;__Lib_System_4XX.c, 95 :: 		
0x0E60	0x46EA    MOV	R10, SP
;__Lib_System_4XX.c, 96 :: 		
L_loopFZs:
;__Lib_System_4XX.c, 97 :: 		
0x0E62	0xF84B9B04  STR	R9, [R11], #4
;__Lib_System_4XX.c, 98 :: 		
0x0E66	0xEBBB0F0A  CMP	R11, R10, LSL #0
;__Lib_System_4XX.c, 99 :: 		
0x0E6A	0xD1FA    BNE	L_loopFZs
;__Lib_System_4XX.c, 100 :: 		
0x0E6C	0xEBBC0F0A  CMP	R12, R10, LSL #0
;__Lib_System_4XX.c, 101 :: 		
0x0E70	0xDD05    BLE	L_norep
;__Lib_System_4XX.c, 102 :: 		
0x0E72	0x46E2    MOV	R10, R12
;__Lib_System_4XX.c, 103 :: 		
0x0E74	0xF8D9B000  LDR	R11, [R9, #0]
;__Lib_System_4XX.c, 104 :: 		
0x0E78	0xF10B0B04  ADD	R11, R11, #4
;__Lib_System_4XX.c, 105 :: 		
0x0E7C	0xE7F1    B	L_loopFZs
;__Lib_System_4XX.c, 106 :: 		
L_norep:
;__Lib_System_4XX.c, 108 :: 		
L_end___FillZeros:
0x0E7E	0xB001    ADD	SP, SP, #4
0x0E80	0x4770    BX	LR
; end of ___FillZeros
_GPIO_Digital_Input:
;__Lib_GPIO_32F4xx.c, 237 :: 		
; pin_mask start address is: 4 (R1)
; port start address is: 0 (R0)
0x0E1C	0xB081    SUB	SP, SP, #4
0x0E1E	0xF8CDE000  STR	LR, [SP, #0]
; pin_mask end address is: 4 (R1)
; port end address is: 0 (R0)
; port start address is: 0 (R0)
; pin_mask start address is: 4 (R1)
;__Lib_GPIO_32F4xx.c, 238 :: 		
0x0E22	0xF04F0242  MOV	R2, #66
0x0E26	0xB289    UXTH	R1, R1
; pin_mask end address is: 4 (R1)
; port end address is: 0 (R0)
0x0E28	0xF7FFFC06  BL	_GPIO_Config+0
;__Lib_GPIO_32F4xx.c, 239 :: 		
L_end_GPIO_Digital_Input:
0x0E2C	0xF8DDE000  LDR	LR, [SP, #0]
0x0E30	0xB001    ADD	SP, SP, #4
0x0E32	0x4770    BX	LR
; end of _GPIO_Digital_Input
_GPIO_Config:
;__Lib_GPIO_32F4xx.c, 74 :: 		
; config start address is: 8 (R2)
; pin_mask start address is: 4 (R1)
; port start address is: 0 (R0)
0x0638	0xB084    SUB	SP, SP, #16
0x063A	0xF8CDE000  STR	LR, [SP, #0]
0x063E	0xB28D    UXTH	R5, R1
0x0640	0x4616    MOV	R6, R2
; config end address is: 8 (R2)
; pin_mask end address is: 4 (R1)
; port end address is: 0 (R0)
; port start address is: 0 (R0)
; pin_mask start address is: 20 (R5)
; config start address is: 24 (R6)
;__Lib_GPIO_32F4xx.c, 75 :: 		
;__Lib_GPIO_32F4xx.c, 76 :: 		
;__Lib_GPIO_32F4xx.c, 80 :: 		
0x0642	0x4B86    LDR	R3, [PC, #536]
0x0644	0xEA000303  AND	R3, R0, R3, LSL #0
; port end address is: 0 (R0)
; port start address is: 28 (R7)
0x0648	0x461F    MOV	R7, R3
;__Lib_GPIO_32F4xx.c, 82 :: 		
0x064A	0x4618    MOV	R0, R3
0x064C	0xF7FFFEBC  BL	_GPIO_Clk_Enable+0
;__Lib_GPIO_32F4xx.c, 85 :: 		
0x0650	0xF1B50FFF  CMP	R5, #255
0x0654	0xD120    BNE	L_GPIO_Config22
;__Lib_GPIO_32F4xx.c, 86 :: 		
0x0656	0x683C    LDR	R4, [R7, #0]
;__Lib_GPIO_32F4xx.c, 87 :: 		
0x0658	0x4B81    LDR	R3, [PC, #516]
0x065A	0xEA040303  AND	R3, R4, R3, LSL #0
; tmp start address is: 0 (R0)
0x065E	0x4618    MOV	R0, R3
;__Lib_GPIO_32F4xx.c, 88 :: 		
0x0660	0x4B80    LDR	R3, [PC, #512]
0x0662	0x429E    CMP	R6, R3
0x0664	0xD114    BNE	L_GPIO_Config23
; pin_mask end address is: 20 (R5)
; config end address is: 24 (R6)
;__Lib_GPIO_32F4xx.c, 89 :: 		
0x0666	0xF2455355  MOVW	R3, #21845
0x066A	0xEA400303  ORR	R3, R0, R3, LSL #0
; tmp end address is: 0 (R0)
;__Lib_GPIO_32F4xx.c, 90 :: 		
0x066E	0x603B    STR	R3, [R7, #0]
;__Lib_GPIO_32F4xx.c, 91 :: 		
0x0670	0x1D3D    ADDS	R5, R7, #4
0x0672	0x682C    LDR	R4, [R5, #0]
0x0674	0xF06F03FF  MVN	R3, #255
0x0678	0xEA040303  AND	R3, R4, R3, LSL #0
0x067C	0x602B    STR	R3, [R5, #0]
;__Lib_GPIO_32F4xx.c, 92 :: 		
